Jak komunikować się bez HEJTU? Paulina Mikuła @mowiacinaczej  i @KrzysztofMMaj | 55
4347:  PM - Jak oni patrzą?
4348:  PM - Co oni tam widzą?
4351:  PM - I zawsze powtarzam o tej kostce do gry.
4354:  PM - Moja znajoma kiedyś jechała taksówką i w pierwszej chwili taksówkarz zapytał, chodzi pani na terapię?
4360:  PM - Ona powiedziała, coś tam powiedziała, a on, bo ja polecam wszystkim terapię.
4365:  PM - Poszedłem na terapię, dlatego że nie mogłem zrozumieć, dlaczego inni mają na dany temat inne zdanie niż ja.
4371:  PM - Przecież jak to możliwe?
4372:  PM - Przecież to jest jasne, że to jest tak.
4374:  PM - Dlaczego oni myślą coś innego?
4375:  PM - Poszedłem na terapię i pani mówi, ma pan kostkę do gry?
4380:  PM - to proszę ją przynieść na następną wizytę.
4383:  PM - Przychodzi, ma pan tę kostkę do gry?
4385:  PM - Mam.
4385:  PM - To proszę ją położyć na tym stoliku między nami.
4388:  PM - Ile pan widzi oczek?
4390:  PM - No trzy.
4390:  PM - A ja sześć, a patrzymy na tę samą kostkę.
4396:  PM - I jemu wtedy znowu, jemu mózg wybuchł z kolei, tak jak mnie, w innej sytuacji i powiedział, że już się wyterapeutyzował.
4406:  PM - I to właśnie o to chodzi w relacjach międzyludzkich, żeby pamiętać o tej kostce.
4411:  KMM - Ja zwykle proszę na koniec rozmowy o przesłanie, ale sformułowała się sama.
4415:  PM - A ja mam suchara dla ciebie.
4417:  KMM - Leć.
4419:  PM - Jak chory żegna się z grami?
4424:  KMM - Nie no, nie wymyślę.
4425:  KMM - Grypa.
4431:  KMM - Była z nami Paulina Mikuła z kanału Mówiąc Inaczej.
4434:  KMM - Dziękuję.
4435:  KMM - Nie pozostaje mi nic innego jak powiedzieć grypa.
4437:  KMM - Grypa.
